payment_date,amount
"2005-05-25 11:30:37","2.99"
"2005-05-28 10:35:23","0.99"
"2005-06-15 00:54:12","5.99"
"2005-06-15 18:02:53","0.99"
"2005-06-15 21:08:46","9.99"
"2005-06-16 15:18:57","4.99"
"2005-06-18 08:41:48","4.99"
"2005-06-18 13:33:59","0.99"
"2005-06-21 06:24:45","3.99"
"2005-07-08 03:17:05","5.99"
"2005-07-08 07:33:56","5.99"
"2005-07-09 13:24:07","4.99"
"2005-07-09 16:38:01","4.99"
"2005-07-11 10:13:46","7.99"
"2005-07-27 11:31:22","2.99"
"2005-07-28 09:04:45","4.99"
"2005-07-28 16:18:23","4.99"
"2005-07-28 17:33:39","0.99"
"2005-07-28 19:20:07","0.99"
"2005-07-29 03:58:49","2.99"
"2005-07-31 02:42:18","2.99"
"2005-08-01 08:51:04","4.99"
"2005-08-02 15:36:52","3.99"
"2005-08-02 18:01:38","0.99"
"2005-08-17 12:37:54","4.99"
"2005-08-18 03:57:29","0.99"
"2005-08-19 09:55:16","0.99"
"2005-08-19 13:56:54","2.99"
"2005-08-21 23:33:57","0.99"
"2005-08-22 01:27:57","1.99"
"2005-08-22 19:41:37","2.99"
"2005-08-22 20:03:46","5.99"
"2005-05-27 00:09:24","4.99"
"2005-06-17 20:54:58","2.99"
"2005-07-10 06:31:24","2.99"
"2005-07-10 12:38:56","6.99"
"2005-07-27 14:30:42","4.99"
"2005-07-27 15:23:02","5.99"
"2005-07-27 18:40:20","5.99"
"2005-07-29 00:12:59","5.99"
"2005-07-29 12:56:59","2.99"
"2005-07-29 17:14:29","5.99"
"2005-07-30 06:06:10","4.99"
"2005-07-30 13:47:43","10.99"
"2005-07-30 14:14:11","0.99"
"2005-07-30 16:21:13","6.99"
"2005-07-30 22:39:53","6.99"
"2005-07-31 21:58:56","2.99"
"2005-08-01 09:45:26","0.99"
"2005-08-02 02:10:56","0.99"
"2005-08-02 07:41:41","5.99"
"2005-08-02 10:43:48","6.99"
"2005-08-02 13:44:53","2.99"
"2005-08-17 03:52:18","2.99"
"2005-08-19 06:26:04","2.99"
"2005-08-21 13:24:32","4.99"
"2005-08-21 22:41:56","5.99"
"2005-08-22 13:53:04","4.99"
"2005-08-23 17:39:35","4.99"
"2005-05-27 17:17:09","1.99"
"2005-05-29 22:43:55","2.99"
"2005-06-16 01:34:05","8.99"
"2005-06-16 15:19:10","6.99"
"2005-06-17 05:15:15","6.99"
"2005-06-19 08:34:53","2.99"
"2005-07-07 10:23:25","4.99"
"2005-07-08 12:47:11","4.99"
"2005-07-27 04:54:42","5.99"
"2005-07-27 20:23:12","10.99"
"2005-07-28 03:59:21","7.99"
"2005-07-28 04:46:30","6.99"
"2005-07-28 11:46:45","4.99"
"2005-07-28 18:17:14","4.99"
"2005-07-29 11:07:04","2.99"
"2005-07-30 13:31:20","1.99"
"2005-07-30 21:45:46","3.99"
"2005-07-31 03:27:58","2.99"
"2005-07-31 11:32:58","4.99"
"2005-08-01 14:19:48","5.99"
"2005-08-18 14:49:55","4.99"
"2005-08-19 22:18:07","8.99"
"2005-08-20 06:14:12","2.99"
"2005-08-21 20:50:48","8.99"
"2005-08-22 09:37:27","0.99"
"2005-08-23 07:10:14","2.99"
"2005-06-15 09:31:28","4.99"
"2005-06-16 08:08:40","0.99"
"2005-06-16 14:01:27","2.99"
"2005-06-16 15:51:52","0.99"
"2005-06-17 14:31:12","0.99"
